iter	RMSE
0	74753.49091
1	74605.77235
2	74486.57283
3	74307.40721
4	74139.38633
5	73995.41959
6	73851.81935
7	73701.5589
8	73536.45573
9	73392.28516
10	73267.36578
11	73267.36524
12	73133.30905
13	73040.25289
14	72944.19095
15	72825.91086
16	72723.61526
17	72621.45754
18	72510.56801
19	72378.90433
20	72257.51811
21	72241.46728
22	72160.75175
23	72078.75399
24	71985.83193
25	71847.88595
26	71771.39348
27	71700.33549
28	71654.0577
29	71553.52213
30	71449.90302
31	71449.90099
32	71360.67229
33	71267.04424
34	71204.02157
35	71133.11701
36	71054.05227
37	70976.7444
38	70913.81032
39	70835.20115
40	70770.98249
41	70707.83539
42	70678.27846
43	70593.40209
44	70517.48668
45	70444.6076
46	70390.91393
47	70332.24197
48	70332.23814
49	70317.71783
50	70253.53787
51	70253.53435
52	70217.39543
53	70217.39224
54	70158.90911
55	70114.86291
56	70044.5103
57	69989.90671
58	69908.81811
59	69868.3404
60	69811.46927
61	69770.36492
62	69742.30171
63	69697.92505
64	69659.28298
65	69642.46342
66	69604.5736
67	69527.64358
68	69465.27312
69	69433.03568
70	69405.5125
71	69377.4859
72	69333.31203
73	69260.21426
74	69250.29969
75	69229.60909
76	69193.74344
77	69158.1267
78	69129.505
79	69077.58575
80	69077.58144
81	69042.92387
82	69013.96102
83	68991.61598
84	68964.13791
85	68920.23306
86	68862.93089
87	68838.67643
88	68777.87582
89	68732.7532
90	68732.74882
91	68728.60555
92	68693.75656
93	68676.79141
94	68641.43255
95	68606.5749
96	68605.62736
97	68585.95193
98	68583.37539
99	68547.54442
100	68525.76665
101	68473.17051
102	68451.4231
103	68427.43161
104	68418.04875
105	68413.83274
106	68381.21637
107	68372.6578
108	68359.52372
109	68359.52037
110	68359.51718
111	68357.98996
112	68332.83659
113	68304.32589
114	68272.64456
115	68261.17366
116	68245.55335
117	68230.18737
118	68191.62085
119	68164.88019
120	68147.21814
121	68144.87886
122	68134.45099
123	68126.83082
124	68097.41997
125	68059.08634
126	67993.83721
127	67985.34301
128	67953.38289
129	67937.44119
130	67910.42531
131	67894.04756
132	67861.81513
133	67861.81174
134	67837.73122
135	67836.72956
136	67803.13072
137	67803.12765
138	67792.85987
139	67759.52598
140	67748.78981
141	67703.06135
142	67700.88402
143	67691.41319
144	67661.34624
145	67661.34337
146	67650.61797
147	67627.89866
148	67603.94796
149	67578.72946
150	67564.81574
151	67531.66924
152	67508.21338
153	67502.07462
154	67476.11377
155	67430.74565
156	67408.1188
157	67401.49111
158	67358.71301
159	67336.8822
160	67325.3747
161	67297.85708
162	67280.83167
163	67280.02393
164	67270.78045
165	67221.37487
166	67200.1072
167	67200.10466
168	67197.07846
169	67186.17778
170	67122.42797
171	67114.50219
172	67090.01818
173	67080.38286
174	67053.08583
175	67033.26621
176	67032.14022
177	67018.49236
178	67003.48603
179	66964.31257
180	66950.91522
181	66926.98593
182	66903.99744
183	66889.01443
184	66872.71482
185	66831.61108
186	66818.9712
187	66818.96907
188	66795.59386
189	66790.67116
190	66770.08484
191	66746.25092
192	66746.24881
193	66731.03153
194	66720.99853
195	66709.95049
196	66708.96886
197	66702.50158
198	66702.49976
199	66688.49076
200	66662.99738
201	66644.2179
202	66634.04917
203	66615.30337
204	66592.83615
205	66592.83439
206	66572.04071
207	66560.65793
208	66559.82901
209	66551.28356
210	66549.90262
211	66549.90113
212	66534.13552
213	66529.06162
214	66504.20614
215	66474.48773
216	66474.48633
217	66458.52418
218	66445.20142
219	66439.41374
220	66435.3915
221	66409.58639
222	66389.00171
223	66373.14048
224	66373.13915
225	66355.97861
226	66332.29658
227	66311.14741
228	66300.16457
229	66274.89477
230	66269.59361
231	66244.31013
232	66219.71361
233	66215.43405
234	66172.21411
235	66168.28302
236	66147.20312
237	66142.63097
238	66125.6698
239	66112.98028
240	66102.98796
241	66088.04873
242	66083.45602
243	66075.92163
244	66066.77849
245	66040.09968
246	66036.01208
247	66022.72931
248	66021.35911
249	66010.42153
250	66005.20784
251	65996.09766
252	65995.17703
253	65990.58306
254	65984.18496
255	65984.18411
256	65978.74489
257	65949.69766
258	65949.69687
259	65948.73505
260	65894.06972
261	65884.53258
262	65849.44247
263	65837.14313
264	65828.13047
265	65828.12968
266	65824.20077
267	65820.12179
268	65803.69667
269	65802.31257
270	65795.55552
271	65766.85278
272	65765.95062
273	65763.69203
274	65738.09549
275	65733.29036
276	65714.57559
277	65698.38255
