iter	Passed	Remaining
0	33	66800
1	178	178662
2	210	139942
3	364	181656
4	549	219313
5	715	237830
6	857	244011
7	993	247399
8	1104	244311
9	1241	247115
10	1368	247402
11	1378	228424
12	1502	229650
13	1629	231181
14	1774	234829
15	1915	237522
16	2059	240243
17	2191	241345
18	2298	239617
19	2445	242109
20	2581	243264
21	2599	233753
22	2718	233715
23	2897	238573
24	3046	240646
25	3222	244694
26	3442	251528
27	3774	265829
28	3867	262852
29	4004	262980
30	4169	264837
31	4182	257209
32	4345	259027
33	4504	260437
34	4637	260361
35	4775	260527
36	4946	262420
37	5072	261923
38	5214	262197
39	5359	262627
40	5561	265745
41	5765	268764
42	5809	264392
43	5983	265990
44	6158	267532
45	6326	268753
46	6516	270788
47	6686	271899
48	6696	266629
49	6713	261845
50	6865	262386
51	6875	257555
52	7030	258270
53	7041	253758
54	7185	254109
55	7337	254712
56	7474	254796
57	7625	255325
58	7752	255056
59	7913	255867
60	8074	256670
61	8218	256890
62	8377	257564
63	8607	260379
64	8764	260907
65	8781	257323
66	8971	258846
67	9127	259333
68	9284	259818
69	9439	260266
70	9592	260609
71	9768	261573
72	9931	262159
73	10062	261890
74	10088	258947
75	10202	258286
76	10359	258718
77	10507	258908
78	10627	258416
79	10793	259053
80	10805	255986
81	10966	256509
82	11088	256098
83	11288	257479
84	11454	258054
85	11645	259179
86	11837	260294
87	12034	261484
88	12185	261643
89	12343	261950
90	12353	259145
91	12360	256352
92	12483	255976
93	12617	255849
94	12741	255509
95	12901	255883
96	12937	253817
97	13079	253853
98	13118	251910
99	13255	251860
100	13416	252263
101	13559	252321
102	13713	252572
103	13869	252859
104	14078	254077
105	14117	252253
106	14290	252816
107	14484	253739
108	14669	254500
109	14682	252271
110	14691	250017
111	14770	248987
112	14979	250143
113	15163	250862
114	15344	251523
115	15510	251912
116	15653	251921
117	15824	252383
118	15973	252491
119	16134	252767
120	16277	252776
121	16309	251062
122	16464	251245
123	16607	251252
124	16757	251359
125	16952	252142
126	17133	252686
127	17320	253317
128	17469	253378
129	17617	253421
130	17761	253412
131	17922	253631
132	18059	253504
133	18065	251573
134	18233	251886
135	18255	250213
136	18448	250877
137	18459	249065
138	18657	249789
139	18829	250166
140	18991	250388
141	19149	250561
142	19222	249624
143	19444	250613
144	19864	254132
145	19883	252493
146	20052	252773
147	20329	254392
148	20519	254911
149	20668	254916
150	20833	255104
151	20996	255270
152	21131	255097
